@timestamp,objId,rsctypeId,TEMPERATURE1,TEMPERATURE,HUMIDITY1,HUMIDITY
2025-03-27T00:08:43.514Z,20,FTH,21.28,31.82,36.99,17.68
2025-03-27T00:08:43.517Z,21,FTH,25.21,28.36,30.71,22.5
2025-03-27T00:08:43.521Z,203,FTH,18.34,21.28,43.65,36.67
2025-03-27T00:08:43.525Z,208,FTH,21.26,25.56,37.48,28.75
2025-03-27T00:08:48.582Z,24,FTH,20.54,25.09,39.01,27.14
2025-03-27T00:08:48.586Z,191,FTH,22.64,28.47,34.6,25.64
2025-03-27T00:08:54.599Z,204,FTH,19.42,29.34,40.5,23.69
2025-03-27T00:08:59.638Z,22,FTH,17.19,24.3,47.47,29.08
2025-03-27T00:09:04.721Z,206,FTH,19.77,24.26,40.48,30.59
2025-03-27T00:09:05.689Z,25,FTH,22.51,25.2,35.17,26.76
2025-03-27T00:09:05.693Z,197,FTH,18.94,21.69,41.21,36.05
2025-03-27T00:09:05.702Z,205,FTH,19.36,21.79,41.66,35.4
2025-03-27T00:09:05.716Z,207,FTH,20.89,21.59,38.3,36.66
2025-03-27T00:09:10.756Z,193,FTH,18.23,26.32,44.24,28.14
2025-03-27T00:09:10.760Z,195,FTH,20.39,27.98,39.43,26.09
2025-03-27T00:09:16.810Z,198,FTH,18.93,21.08,40.51,37.17
2025-03-27T00:09:16.814Z,200,FTH,19.33,22.92,40.47,33.66
2025-03-27T00:09:16.818Z,201,FTH,19.57,21.51,40.62,36.54
2025-03-27T00:09:17.796Z,196,FTH,20.22,27.29,39.21,26.94
2025-03-27T00:09:20.838Z,23,FTH,18.51,21.9,42.81,33.45
2025-03-27T00:09:21.825Z,202,FTH,19.9,21.67,40.08,36.23
2025-03-27T00:09:22.836Z,199,FTH,19.23,20.2,41.2,39.02
2025-03-27T00:09:37.983Z,192,FTH,19.27,26.89,41.74,27.01
2025-03-27T00:09:38.970Z,194,FTH,18.23,27.09,44.17,27.21
2025-03-27T00:09:44.014Z,20,FTH,21.24,31.77,36.87,17.64
2025-03-27T00:09:44.018Z,21,FTH,25.38,28.34,30.18,22.48
2025-03-27T00:09:44.022Z,203,FTH,18.23,21.17,43.96,36.85
2025-03-27T00:09:44.025Z,208,FTH,21.24,25.58,37.48,28.66
2025-03-27T00:09:49.121Z,24,FTH,20.57,25.09,38.78,27.11
2025-03-27T00:09:49.125Z,191,FTH,22.65,28.48,34.43,25.48
2025-03-27T00:09:55.096Z,204,FTH,19.27,29.22,40.78,23.84
2025-03-27T00:10:00.234Z,22,FTH,17.19,24.33,47.83,28.98
2025-03-27T00:10:05.226Z,206,FTH,19.66,24.17,40.69,30.74
2025-03-27T00:10:06.208Z,25,FTH,22.53,25.21,35.12,26.7
2025-03-27T00:10:06.214Z,197,FTH,18.82,21.59,41.46,36.25
2025-03-27T00:10:06.221Z,205,FTH,19.22,21.7,41.91,35.52
2025-03-27T00:10:06.227Z,207,FTH,20.83,21.54,38.37,36.72
2025-03-27T00:10:11.246Z,193,FTH,18.21,26.31,44.26,28.28
2025-03-27T00:10:11.250Z,195,FTH,20.33,27.98,39.59,26.13
2025-03-27T00:10:17.288Z,198,FTH,18.84,20.98,40.78,37.31
